ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1842;475;1;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3242;313;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;2302;783;1;0
src\test\java\javax\util\streamex\StreamExTest.java;3886;320;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;2932;1125;1;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;1989;126;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;2173;716;1;0
src\main\java\javax\util\streamex\EntryStream.java;2307;533;1;0
src\test\java\javax\util\streamex\IntStreamExTest.java;2856;164;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;1984;129;0;0
src\main\java\javax\util\streamex\StreamEx.java;2257;791;1;0
