ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1598;298;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;2507;251;1;0
src\main\java\javax\util\streamex\LongStreamEx.java;1725;340;0;0
src\test\java\javax\util\streamex\StreamExTest.java;1505;143;1;0
src\main\java\javax\util\streamex\IntStreamEx.java;1815;358;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;654;71;1;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1622;322;0;0
src\main\java\javax\util\streamex\EntryStream.java;2196;238;1;0
src\test\java\javax\util\streamex\IntStreamExTest.java;1022;99;1;0
src\test\java\javax\util\streamex\LongStreamExTest.java;812;87;1;0
src\main\java\javax\util\streamex\StreamEx.java;1659;203;0;0
