ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3399;329;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;2433;843;0;0
src\test\java\javax\util\streamex\StreamExTest.java;4962;377;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;2095;129;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;2383;811;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;3432;203;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;2010;130;0;0
src\main\java\javax\util\streamex\StreamEx.java;2334;936;1;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;2236;663;1;0
src\main\java\javax\util\streamex\StreamFactory.java;2994;547;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;3413;1333;0;0
src\test\java\javax\util\streamex\CustomPoolTest.java;2428;125;0;0
src\main\java\javax\util\streamex\EntryStream.java;2317;582;1;0
