ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1865;450;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;2724;274;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;1788;448;0;0
src\test\java\javax\util\streamex\StreamExTest.java;3035;257;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;1883;528;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;1308;104;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1684;424;0;0
src\main\java\javax\util\streamex\EntryStream.java;2187;377;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;1552;117;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;1345;106;0;0
src\main\java\javax\util\streamex\StreamEx.java;1937;499;1;0
